"id","average_wind_speed","gust_wind_speed","wind_direction","rainfall","temperature","humidity","light","uvi","station_name","timestamp"
685,0,0,36,255,21,31,50,0,b4,2022-02-16 12:49:49.139836+01
686,0,0,38,72,21,32,79,0,b4,2022-02-16 12:57:33.152877+01
687,0,0,42,120,21,31,78,0,b4,2022-02-16 13:05:01.170394+01
688,0,0,42,120,21,31,72,0,b4,2022-02-16 13:10:21.182232+01
689,0,0,41,120,21,31,76,0,b4,2022-02-16 13:11:57.18312+01
690,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:04:14.014793+01
691,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:07:25.436454+01
692,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:13:49.446786+01
693,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:17:01.456155+01
694,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:19:25.468269+01
695,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:26:53.471789+01
696,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:27:25.436046+01
697,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:27:41.472149+01
698,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:35:25.598148+01
699,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:39:25.505597+01
700,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:41:33.511064+01
701,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:43:09.5118+01
702,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:44:45.513659+01
703,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:53:17.538644+01
704,0,0,24,207,85,1e,52,0,b0,2022-02-16 15:53:49.543836+01
705,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:09:33.571068+01
706,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:11:09.535273+01
707,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:30:37.619096+01
708,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:35:09.629093+01
709,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:35:41.624606+01
710,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:38:05.644618+01
711,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:40:45.751415+01
712,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:42:53.64164+01
713,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:53:49.660909+01
714,0,0,24,207,85,1e,52,0,b0,2022-02-16 16:57:17.671424+01
715,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:02:05.677849+01
716,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:03:57.679624+01
717,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:07:57.697128+01
718,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:09:17.700387+01
719,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:13:17.704797+01
720,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:16:13.712832+01
721,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:21:49.730537+01
722,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:34:53.760226+01
723,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:37:17.835468+01
724,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:43:25.772842+01
725,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:46:37.777251+01
726,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:52:29.802638+01
727,0,0,24,207,85,1e,52,0,b0,2022-02-16 17:58:21.810191+01
728,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:01:01.808521+01
729,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:02:05.811738+01
730,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:10:37.833398+01
731,0,0,24,207,85,1e,52,0,b0,2022-02-16 18:15:41.831768+01
